,Player,GP,MIN,PTS,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
34,Delon Wright,65,34.9,11.7,1.6,4.8,6.4,5.5,1.9,0.5,1.6,18.8
35,Terence Davis,64,34.9,15.8,1.4,5.5,7.0,3.5,1.0,0.4,2.1,18.7
36,Derrick White,61,34.9,15.1,0.7,3.9,4.6,4.9,0.9,1.3,1.7,18.4
37,Bobby Portis,66,34.9,16.7,2.0,6.5,8.4,2.5,0.8,0.5,1.8,18.4
38,Dario Saric,58,34.9,14.2,2.1,6.2,8.3,2.7,0.8,0.4,1.7,18.2
39,Jordan Clarkson,63,34.9,21.8,1.0,2.7,3.9,2.9,1.0,0.3,1.9,18.2
40,Tyus Jones,65,34.9,13.6,0.2,2.6,2.9,8.1,1.7,0.2,1.5,18.0
41,Bruno Fernando,56,34.9,11.8,3.3,6.3,9.6,2.5,0.8,0.8,2.2,17.9
42,Jalen Brunson,57,34.9,16.0,0.8,3.9,4.7,6.4,0.8,0.2,2.3,17.9
43,Trey Lyles,63,34.9,11.1,1.9,7.9,9.8,1.9,0.7,0.7,1.0,17.8
44,Kyle Anderson,59,34.9,10.3,1.6,6.1,8.0,4.0,1.4,0.9,1.6,17.7
45,Omari Spellman,49,34.9,14.7,3.1,5.6,8.7,1.9,1.3,1.0,2.1,17.7
46,Jeff Teague,59,34.9,15.3,0.7,2.7,3.4,7.3,1.0,0.4,2.8,17.6
47,Shabazz Napier,51,34.9,14.9,0.7,3.5,4.2,7.2,1.9,0.3,3.2,17.6
48,JaMychal Green,55,34.9,11.1,2.4,8.5,10.7,1.4,0.9,0.7,1.4,17.2
49,Meyers Leonard,49,34.9,10.6,1.0,7.8,8.9,1.9,0.5,0.5,1.2,17.0
50,Seth Curry,59,34.9,17.9,0.6,2.7,3.4,2.8,0.9,0.1,1.4,17.0
51,Derrick Jones Jr.,51,34.9,12.7,1.6,4.4,6.0,1.6,1.6,1.0,0.7,17.0
52,Emmanuel Mudiay,48,34.9,16.2,0.9,4.4,5.3,4.9,0.9,0.4,3.1,16.9
53,Thon Maker,60,34.9,12.7,2.4,5.1,7.6,1.9,1.1,1.9,2.2,16.8
54,Rajon Rondo,48,34.9,12.1,0.9,4.3,5.1,8.5,1.4,0.0,3.2,16.7
55,Doug McDermott,62,34.9,18.1,0.7,3.7,4.4,1.9,0.2,0.2,1.0,16.4
56,Nicolo Melli,52,34.9,13.9,1.4,4.7,6.1,2.7,1.2,0.8,1.6,16.3
57,Markieff Morris,52,34.9,16.5,1.1,5.2,6.2,2.3,0.8,0.5,2.3,16.1
58,Pat Connaughton,61,34.9,9.7,1.7,6.3,8.0,3.1,0.6,1.0,1.5,16.0
59,Monte Morris,65,34.9,13.6,0.5,2.3,2.7,5.7,1.3,0.3,1.1,16.0
60,D.J. Augustin,49,34.9,14.6,0.6,2.7,3.1,6.5,0.8,0.0,2.0,15.6
61,Malik Monk,55,34.9,16.9,0.8,3.9,4.8,3.4,0.8,0.5,2.3,15.1
62,Patrick Patterson,51,34.9,13.5,1.8,5.3,7.0,1.8,0.3,0.3,1.2,15.0
63,Kyle Kuzma,54,34.9,17.7,1.3,5.1,6.4,1.8,0.6,0.6,2.3,15.0
64,Patty Mills,63,34.9,18.0,0.5,2.0,2.5,2.8,1.2,0.2,1.2,14.9
65,Malik Beasley,55,34.9,17.8,0.5,3.8,4.3,2.2,1.1,0.2,1.6,14.8
66,Georges Niang,58,34.9,15.2,0.5,4.5,5.0,1.6,0.5,0.3,1.0,14.7
67,James Ennis III,61,34.9,12.1,2.0,4.6,6.7,1.8,1.0,0.6,1.4,14.7
