,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
146,Kyle Kuzma,54,24.6,12.5,4.7,10.9,43.2,1.3,4.4,29.7,1.8,2.4,73.8,0.9,3.6,4.5,1.3,0.4,0.4,1.6,10.6
147,Derrick Jones Jr.,51,24.5,8.9,3.3,6.3,51.4,0.7,2.5,27.0,1.7,2.2,77.9,1.1,3.1,4.2,1.1,1.1,0.7,0.5,11.9
148,Seth Curry,59,24.5,12.6,4.5,9.0,50.0,2.3,5.1,45.3,1.3,1.5,84.1,0.4,1.9,2.4,2.0,0.6,0.1,1.0,11.9
149,Avery Bradley,49,24.2,8.6,3.5,7.8,44.4,1.3,3.5,36.4,0.4,0.5,83.3,0.4,2.0,2.3,1.3,0.9,0.1,1.0,7.9
150,Jordan Clarkson,63,24.2,15.1,5.6,12.0,46.5,2.1,5.6,36.8,1.9,2.3,84.1,0.7,1.9,2.7,2.0,0.7,0.2,1.3,12.6
151,Derrick Favors,45,24.2,9.2,4.2,6.8,62.0,0.0,0.2,14.3,0.8,1.4,58.1,3.3,6.6,9.9,1.7,0.6,1.0,1.1,18.0
152,Shabazz Napier,51,24.2,10.3,3.3,8.1,41.2,1.4,4.4,32.0,2.3,2.8,82.3,0.5,2.4,2.9,5.0,1.3,0.2,2.2,12.2
153,Derrick White,61,24.1,10.4,3.5,7.6,45.9,0.9,2.6,35.6,2.5,2.9,85.7,0.5,2.7,3.2,3.4,0.6,0.9,1.2,12.7
154,Cory Joseph,64,24.0,6.3,2.4,5.8,42.0,0.7,2.1,35.1,0.8,0.9,82.8,0.6,2.0,2.5,3.4,0.7,0.3,1.0,8.8
155,Jarrett Culver,63,23.9,9.2,3.7,9.0,40.4,1.0,3.5,29.9,0.9,1.9,46.2,1.1,2.3,3.4,1.7,0.9,0.6,1.3,8.2
156,Daniel Theis,58,23.8,9.3,3.7,6.6,56.5,0.4,1.4,32.1,1.4,1.8,76.4,2.2,4.3,6.6,1.6,0.6,1.3,0.8,15.3
157,Aaron Holiday,58,23.6,9.4,3.5,8.6,40.7,1.4,3.5,39.4,1.1,1.2,86.1,0.4,1.9,2.3,3.3,0.8,0.2,1.3,9.5
158,Terrance Ferguson,50,23.4,4.2,1.5,4.0,37.2,0.9,3.1,29.7,0.3,0.4,78.9,0.5,1.0,1.5,0.9,0.5,0.3,0.6,4.2
159,Austin Rivers,60,23.4,8.5,3.0,7.2,42.1,1.4,3.9,35.8,1.0,1.5,66.7,0.4,2.0,2.4,1.6,0.7,0.2,0.6,8.0
160,Kevin Porter Jr.,50,23.2,10.0,3.7,8.4,44.2,1.1,3.2,33.5,1.5,2.0,72.3,0.4,2.8,3.2,2.2,0.9,0.3,1.9,9.5
161,Donte DiVincenzo,59,23.1,9.4,3.5,7.7,46.2,1.3,3.7,34.4,1.0,1.3,76.9,1.0,3.9,4.9,2.3,1.4,0.3,1.2,12.6
162,Cody Zeller,58,23.1,11.1,4.3,8.3,52.4,0.3,1.3,24.0,2.1,3.1,68.2,2.8,4.3,7.1,1.5,0.7,0.4,1.3,14.6
163,Mitchell Robinson,61,23.1,9.7,4.1,5.6,74.2,0.0,0.0,0.0,1.4,2.4,56.8,3.0,4.0,7.0,0.6,0.9,2.0,0.6,17.0
